epoch,accuracy,loss,val_accuracy,val_loss
0,0.3739274740219116,1.3243513107299805,0.44668588042259216,1.2921322584152222
1,0.6543039083480835,0.9725537300109863,0.6570605039596558,0.9412137269973755
2,0.7946305274963379,0.5776429176330566,0.7060518860816956,0.7714645266532898
3,0.8560752868652344,0.40751221776008606,0.7002881765365601,0.7602513432502747
4,0.8848602175712585,0.32068437337875366,0.7002881765365601,0.7897771596908569
5,0.9158594012260437,0.2642478346824646,0.6945244669914246,0.8285453915596008
6,0.9280376434326172,0.21733814477920532,0.6887608170509338,0.8964247703552246
7,0.9388319849967957,0.18479806184768677,0.6829971075057983,0.9227905869483948
8,0.9523941278457642,0.15440820157527924,0.6887608170509338,0.9655086994171143
9,0.9565458297729492,0.13833679258823395,0.7060518860816956,0.9518548846244812
10,0.9645723700523376,0.12365540117025375,0.6945244669914246,1.0156868696212769
11,0.9665098190307617,0.11749602854251862,0.6858789920806885,1.0269402265548706
12,0.9703847169876099,0.09851795434951782,0.680115282535553,1.191525936126709
13,0.9709382653236389,0.09742294996976852,0.7002881765365601,1.1638991832733154
14,0.9692776203155518,0.09102001786231995,0.7031700015068054,1.2502185106277466
15,0.972045361995697,0.08637837320566177,0.6945244669914246,1.2421011924743652
16,0.975089967250824,0.07892200350761414,0.6974063515663147,1.266097068786621
17,0.9717686176300049,0.08363042771816254,0.6829971075057983,1.322298526763916
18,0.973429262638092,0.07974616438150406,0.6945244669914246,1.2778913974761963
19,0.9739828109741211,0.07445237785577774,0.6974063515663147,1.3399235010147095
20,0.9753667116165161,0.07157076150178909,0.6916426420211792,1.3732281923294067
21,0.976473867893219,0.06968967616558075,0.6945244669914246,1.3669644594192505
22,0.9748131632804871,0.07055685669183731,0.6974063515663147,1.3655370473861694
23,0.9775809645652771,0.06583608686923981,0.680115282535553,1.334781527519226
24,0.977027416229248,0.06515982002019882,0.6858789920806885,1.382490634918213
